21:45:18,CPU,%user,%nice,%system,%iowait,%steal,%idle
21:45:19,all,0.00,0.00,0.00,0.00,0.00,100.00
21:45:20,all,0.00,0.00,0.00,0.00,0.00,100.00
21:45:21,all,0.00,0.00,0.00,0.00,0.00,100.00
21:45:22,all,0.00,0.00,0.00,0.00,0.00,100.00
21:45:24,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:25,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:26,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:27,all,0.00,0.00,1.00,0.00,0.00,99.00
21:45:28,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:29,all,0.00,0.00,0.00,0.00,0.00,100.00
21:45:30,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:31,all,0.00,0.00,0.25,0.00,0.00,99.75
21:45:32,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:33,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:34,all,0.25,0.00,0.25,0.00,0.00,99.50
21:45:35,all,0.00,0.00,0.25,0.00,0.00,99.75
21:45:36,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:37,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:38,all,0.00,0.00,1.00,0.00,0.00,99.00
21:45:39,all,0.25,0.00,0.50,0.00,0.00,99.25
21:45:40,all,0.25,0.00,0.25,0.00,0.00,99.50
21:45:41,all,0.00,0.00,0.00,0.00,0.00,100.00
21:45:42,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:43,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:44,all,0.00,0.00,0.25,0.00,0.00,99.75
21:45:45,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:46,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:47,all,0.00,0.00,0.00,0.00,0.00,100.00
21:45:48,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:49,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:50,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:51,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:52,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:53,all,0.00,0.00,0.00,0.00,0.00,100.00
21:45:54,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:55,all,0.00,0.00,0.25,0.00,0.00,99.75
21:45:56,all,0.00,0.00,0.75,0.00,0.00,99.25
21:45:57,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:58,all,0.00,0.00,0.50,0.00,0.00,99.50
21:45:59,all,0.00,0.00,0.00,0.00,0.00,100.00
21:46:00,all,0.00,0.00,0.50,0.00,0.00,99.50
21:46:01,all,0.25,0.00,0.50,0.00,0.00,99.25
21:46:02,all,0.25,0.00,0.50,0.00,0.00,99.25
21:46:03,all,0.00,0.00,0.50,0.00,0.00,99.50
21:46:04,all,0.00,0.00,0.75,0.00,0.00,99.25
21:46:05,all,0.00,0.00,0.00,0.00,0.00,100.00
21:46:06,all,0.00,0.00,0.50,0.00,0.00,99.50
21:46:07,all,0.00,0.00,0.75,0.00,0.00,99.25
21:46:08,all,0.00,0.00,0.50,0.00,0.00,99.50
21:46:09,all,0.00,0.00,0.25,0.00,0.00,99.75
21:46:10,all,0.00,0.00,0.75,0.00,0.00,99.25
21:46:11,all,0.00,0.00,0.00,0.00,0.00,100.00
21:46:12,all,0.00,0.00,0.25,0.00,0.00,99.75
21:46:13,all,0.00,0.00,0.50,0.00,0.00,99.50
21:46:14,all,0.00,0.00,0.25,0.00,0.00,99.75
21:46:15,all,0.00,0.00,0.50,0.00,0.00,99.50
21:46:16,all,0.00,0.00,0.50,0.00,0.00,99.50
21:46:17,all,0.00,0.00,0.00,0.00,0.00,100.00
21:46:18,all,0.00,0.00,0.50,0.00,0.00,99.50
21:46:19,all,0.00,0.00,0.75,0.00,0.00,99.25
Average:,all,0.02,0.00,0.45,0.00,0.00,99.53
