21:43:51,CPU,%user,%nice,%system,%iowait,%steal,%idle
21:43:52,all,0.00,0.00,0.25,0.00,0.00,99.75
21:43:53,all,0.25,0.00,0.50,0.00,0.00,99.25
21:43:54,all,0.00,0.00,0.00,0.00,0.00,100.00
21:43:55,all,0.00,0.00,0.50,0.00,0.00,99.50
21:43:56,all,0.00,0.00,1.00,0.00,0.00,99.00
21:43:57,all,0.00,0.00,0.75,0.00,0.00,99.25
21:43:58,all,0.00,0.00,0.25,0.00,0.00,99.75
21:43:59,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:00,all,0.00,0.00,0.75,0.00,0.00,99.25
21:44:01,all,0.25,0.00,0.50,0.00,0.00,99.24
21:44:02,all,0.25,0.00,0.25,0.00,0.00,99.50
21:44:03,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:04,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:05,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:06,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:07,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:08,all,0.00,0.00,0.75,0.00,0.00,99.25
21:44:09,all,0.00,0.00,0.00,0.00,0.00,100.00
21:44:10,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:11,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:12,all,0.00,0.00,0.75,0.00,0.00,99.25
21:44:13,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:14,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:15,all,0.00,0.00,1.00,0.00,0.00,99.00
21:44:16,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:17,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:18,all,0.00,0.00,0.75,0.00,0.00,99.25
21:44:19,all,0.25,0.00,0.75,0.00,0.00,99.00
21:44:20,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:21,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:22,all,0.00,0.00,0.00,0.00,0.00,100.00
21:44:23,all,0.00,0.00,0.00,0.00,0.00,100.00
21:44:24,all,0.00,0.00,0.50,0.25,0.00,99.25
21:44:25,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:26,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:27,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:28,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:29,all,4.77,0.00,1.01,0.00,0.00,94.22
21:44:30,all,3.24,0.00,2.24,0.00,0.00,94.51
21:44:31,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:32,all,0.00,0.00,0.75,0.00,0.00,99.25
21:44:33,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:34,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:35,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:36,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:37,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:38,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:39,all,0.00,0.00,0.75,0.00,0.00,99.25
21:44:40,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:41,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:42,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:43,all,0.00,0.00,0.75,0.00,0.00,99.25
21:44:44,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:45,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:46,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:47,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:48,all,0.25,0.00,0.75,0.00,0.00,99.00
21:44:49,all,0.00,0.00,0.50,0.00,0.00,99.50
21:44:50,all,0.00,0.00,0.25,0.00,0.00,99.75
21:44:51,all,0.00,0.00,0.50,0.00,0.00,99.50
Average:,all,0.15,0.00,0.49,0.00,0.00,99.35
