21:48:42,CPU,%user,%nice,%system,%iowait,%steal,%idle
21:48:43,all,63.29,0.00,7.34,0.00,0.00,29.37
21:48:44,all,83.33,0.00,10.86,0.00,0.00,5.81
21:48:45,all,76.96,0.00,12.66,0.00,0.00,10.38
21:48:46,all,67.17,0.00,18.94,0.25,0.00,13.64
21:48:47,all,73.95,0.00,9.93,0.00,0.00,16.13
21:48:48,all,72.29,0.00,9.82,0.00,0.00,17.88
21:48:49,all,72.07,0.00,15.46,0.00,0.00,12.47
21:48:50,all,63.93,0.00,15.17,0.00,0.00,20.90
21:48:51,all,54.00,0.00,1.75,0.00,0.00,44.25
21:48:52,all,58.87,0.00,4.37,0.00,0.00,36.76
21:48:53,all,64.16,0.00,5.76,0.00,0.00,30.08
21:48:54,all,71.39,0.00,3.73,0.00,0.00,24.88
21:48:55,all,50.76,0.00,2.53,0.00,0.00,46.72
21:48:56,all,56.38,0.00,3.06,0.00,0.00,40.56
21:48:57,all,53.54,0.00,4.29,0.00,0.00,42.17
21:48:58,all,53.00,0.00,9.40,0.00,0.00,37.60
21:48:59,all,51.15,0.00,4.86,0.00,0.00,43.99
21:49:00,all,53.44,0.00,5.09,0.00,0.00,41.48
21:49:01,all,57.25,0.00,1.81,0.00,0.00,40.93
21:49:02,all,59.18,0.00,4.08,0.00,0.00,36.73
21:49:03,all,54.83,0.00,4.18,0.00,0.00,40.99
21:49:04,all,54.99,0.00,3.07,0.00,0.00,41.94
21:49:05,all,58.82,0.00,5.37,0.00,0.00,35.81
21:49:06,all,56.06,0.00,2.78,0.00,0.00,41.16
21:49:07,all,49.87,0.00,1.80,0.00,0.00,48.33
21:49:08,all,53.05,0.00,3.55,0.00,0.00,43.40
21:49:09,all,54.22,0.00,3.07,0.00,0.00,42.71
21:49:10,all,56.38,0.00,8.16,0.00,0.00,35.46
21:49:11,all,45.67,0.00,1.57,0.00,0.00,52.76
21:49:12,all,54.59,0.00,3.32,0.00,0.00,42.09
21:49:13,all,54.26,0.00,1.55,0.00,0.00,44.19
21:49:14,all,53.20,0.00,4.09,0.00,0.00,42.71
21:49:15,all,65.12,0.00,5.43,0.00,0.00,29.46
21:49:16,all,49.49,0.00,6.15,0.00,0.00,44.36
21:49:17,all,47.79,0.00,3.12,0.00,0.00,49.09
21:49:18,all,51.79,0.00,4.62,0.00,0.00,43.59
21:49:19,all,48.44,0.00,5.21,0.00,0.00,46.35
21:49:20,all,53.32,0.00,7.43,0.00,0.00,39.26
21:49:21,all,40.83,0.00,5.17,0.00,0.00,54.01
21:49:22,all,45.43,0.00,2.61,0.00,0.00,51.96
21:49:23,all,51.65,0.00,4.56,0.00,0.00,43.80
21:49:24,all,58.59,0.00,8.59,0.00,0.00,32.83
21:49:25,all,55.04,0.00,6.46,0.00,0.00,38.50
21:49:26,all,50.51,0.00,4.59,0.00,0.00,44.90
21:49:27,all,48.46,0.00,3.33,0.00,0.00,48.21
21:49:28,all,47.04,0.00,3.86,0.00,0.00,49.10
21:49:29,all,46.62,0.00,6.27,0.00,0.00,47.12
21:49:30,all,54.02,0.00,6.28,0.00,0.00,39.70
21:49:31,all,53.88,0.00,9.27,0.00,0.00,36.84
21:49:32,all,64.38,0.00,3.56,0.00,0.00,32.06
21:49:33,all,52.31,0.00,5.38,0.00,0.00,42.31
21:49:34,all,57.21,0.00,6.22,0.00,0.00,36.57
21:49:35,all,60.61,0.00,5.63,0.00,0.00,33.76
21:49:36,all,56.58,0.00,4.47,0.00,0.00,38.96
21:49:37,all,50.62,0.00,3.74,0.00,0.00,45.64
21:49:38,all,53.20,0.00,4.19,0.00,0.00,42.61
21:49:39,all,43.58,0.00,6.80,0.00,0.00,49.62
21:49:40,all,49.25,0.00,5.03,0.00,0.00,45.73
21:49:41,all,75.63,0.00,11.06,0.00,0.00,13.32
21:49:42,all,70.99,0.00,7.63,0.00,0.00,21.37
Average:,all,56.79,0.00,5.85,0.00,0.00,37.35
