Connected with result code 0,,,,LD,phone 180x180
zwave/D/50/0/value/66049 b'5.621',,,,,ipad 320x180
zwave/D/50/0/value/66049 b'5.715',,,,,pi 240x180
zwave/D/50/0/value/66049 b'5.715',,,,,
zwave/D/50/0/value/66049 b'6.205',,,,HD,phone 720x720
zwave/D/50/0/value/66049 b'6.205',,,,,ipad 1280 x 720
zwave/D/50/0/value/66049 b'5.733',,,,,pi 960x720
zwave/D/50/0/value/66049 b'5.733',,,,,
zwave/D/50/0/value/66049 b'5.647',,,,,
zwave/D/50/0/value/66049 b'5.647',,,,,
zwave/D/50/0/value/66049 b'5.647',,,,,
zwave/D/50/0/value/66049 b'5.647',,,,,
zwave/D/50/0/value/66049 b'5.716',,,,,
zwave/D/50/0/value/66049 b'5.716',,,,,
zwave/D/50/0/value/66049 b'5.587',,,,,
zwave/D/50/0/value/66049 b'5.771',,,,,
zwave/D/50/0/value/66049 b'5.771',,,,,
zwave/D/50/0/value/66049 b'5.87',,,,,
zwave/D/50/0/value/66049 b'5.87',,,,,
zwave/D/50/0/value/66049 b'5.525',,,,,
zwave/D/50/0/value/66049 b'5.525',,,,,
zwave/D/50/0/value/66049 b'5.647',,,,,
zwave/D/50/0/value/66049 b'5.647',,,,,
zwave/D/50/0/value/66049 b'5.594',,,,,
zwave/D/50/0/value/66049 b'5.594',,,,,
zwave/D/50/0/value/66049 b'5.661',,,,,
zwave/D/50/0/value/66049 b'5.661',,,,,
zwave/D/50/0/value/66049 b'5.545',,,,,
zwave/D/50/0/value/66049 b'5.545',,,,,
zwave/D/50/0/value/66049 b'5.825',,,,,
zwave/D/50/0/value/66049 b'5.494',,,,,
zwave/D/50/0/value/66049 b'5.494',,,,,
zwave/D/50/0/value/66049 b'5.687',,,,,
zwave/D/50/0/value/66049 b'5.687',,,,,
zwave/D/50/0/value/66049 b'5.795',,,,,
zwave/D/50/0/value/66049 b'5.711',,,,,
zwave/D/50/0/value/66049 b'5.711',,,,,
zwave/D/50/0/value/66049 b'5.612',,,,,
zwave/D/50/0/value/66049 b'5.791',,,,,
zwave/D/50/0/value/66049 b'5.791',,,,,
zwave/D/50/0/value/66049 b'5.649',,,,,
zwave/D/50/0/value/66049 b'5.649',,,,,
zwave/D/50/0/value/66049 b'5.681',,,,,
zwave/D/50/0/value/66049 b'5.681',,,,,
zwave/D/50/0/value/66049 b'5.542',,,,,
zwave/D/50/0/value/66049 b'5.542',,,,,
zwave/D/50/0/value/66049 b'5.695',,,,,
zwave/D/50/0/value/66049 b'5.695',,,,,
zwave/D/50/0/value/66049 b'5.598',,,,,
zwave/D/50/0/value/66049 b'5.598',,,,,
zwave/D/50/0/value/66049 b'5.819',,,,,
zwave/D/50/0/value/66049 b'5.819',,,,,
zwave/D/50/0/value/66049 b'5.832',,,,,
zwave/D/50/0/value/66049 b'5.832',,,,,
zwave/D/50/0/value/66049 b'5.729',,,,,
zwave/D/50/0/value/66049 b'5.729',,,,,
zwave/D/50/0/value/66049 b'5.844',,,,,
zwave/D/50/0/value/66049 b'5.844',,,,,
zwave/D/50/0/value/66049 b'5.629',,,,,
zwave/D/50/0/value/66049 b'5.629',,,,,
zwave/D/50/0/value/66049 b'5.46',,,,,
zwave/D/50/0/value/66049 b'5.46',,,,,
zwave/D/50/0/value/66049 b'5.619',,,,,
zwave/D/50/0/value/66049 b'5.619',,,,,
zwave/D/50/0/value/66049 b'5.581',,,,,
zwave/D/50/0/value/66049 b'5.581',,,,,
zwave/D/50/0/value/66049 b'5.85',,,,,
zwave/D/50/0/value/66049 b'5.85',,,,,
zwave/D/50/0/value/66049 b'5.858',,,,,
zwave/D/50/0/value/66049 b'5.858',,,,,
zwave/D/50/0/value/66049 b'5.829',,,,,
zwave/D/50/0/value/66049 b'5.829',,,,,
zwave/D/50/0/value/66049 b'5.728',,,,,
zwave/D/50/0/value/66049 b'5.728',,,,,
zwave/D/50/0/value/66049 b'5.691',,,,,
zwave/D/50/0/value/66049 b'5.691',,,,,
zwave/D/50/0/value/66049 b'5.823',,,,,
zwave/D/50/0/value/66049 b'5.823',,,,,
zwave/D/50/0/value/66049 b'5.913',,,,,
zwave/D/50/0/value/66049 b'5.913',,,,,
zwave/D/50/0/value/66049 b'5.598',,,,,
zwave/D/50/0/value/66049 b'5.598',,,,,
zwave/D/50/0/value/66049 b'5.733',,,,,
zwave/D/50/0/value/66049 b'5.733',,,,,
zwave/D/50/0/value/66049 b'5.784',,,,,
zwave/D/50/0/value/66049 b'5.784',,,,,
zwave/D/50/0/value/66049 b'5.756',,,,,
zwave/D/50/0/value/66049 b'5.756',,,,,
zwave/D/50/0/value/66049 b'5.632',,,,,
zwave/D/50/0/value/66049 b'5.632',,,,,
zwave/D/50/0/value/66049 b'5.782',,,,,
zwave/D/50/0/value/66049 b'5.782',,,,,
zwave/D/50/0/value/66049 b'5.663',,,,,
zwave/D/50/0/value/66049 b'5.663',,,,,
zwave/D/50/0/value/66049 b'5.768',,,,,
zwave/D/50/0/value/66049 b'5.768',,,,,
zwave/D/50/0/value/66049 b'5.829',,,,,
zwave/D/50/0/value/66049 b'5.829',,,,,
zwave/D/50/0/value/66049 b'5.835',,,,,
zwave/D/50/0/value/66049 b'5.835',,,,,
zwave/D/50/0/value/66049 b'5.685',,,,,
zwave/D/50/0/value/66049 b'5.685',,,,,
zwave/D/50/0/value/66049 b'5.865',,,,,
zwave/D/50/0/value/66049 b'5.865',,,,,
zwave/D/50/0/value/66049 b'5.694',,,,,
zwave/D/50/0/value/66049 b'5.694',,,,,
zwave/D/50/0/value/66049 b'5.695',,,,,
zwave/D/50/0/value/66049 b'5.695',,,,,
zwave/D/50/0/value/66049 b'5.661',,,,,
zwave/D/50/0/value/66049 b'5.661',,,,,
zwave/D/50/0/value/66049 b'5.705',,,,,
zwave/D/50/0/value/66049 b'5.705',,,,,
zwave/D/50/0/value/66049 b'5.619',,,,,
zwave/D/50/0/value/66049 b'5.619',,,,,
zwave/D/50/0/value/66049 b'5.726',,,,,
zwave/D/50/0/value/66049 b'5.726',,,,,
zwave/D/50/0/value/66049 b'5.768',,,,,
zwave/D/50/0/value/66049 b'5.768',,,,,
zwave/D/50/0/value/66049 b'5.533',,,,,
