16:53:40,CPU,%user,%nice,%system,%iowait,%steal,%idle
16:53:41,all,42.34,0.00,16.88,0.00,0.00,40.78
16:53:42,all,28.31,0.00,5.82,0.00,0.00,65.87
16:53:43,all,25.59,0.00,8.71,0.00,0.00,65.70
16:53:44,all,33.68,0.00,8.36,0.00,0.00,57.96
16:53:45,all,30.71,0.00,4.46,0.00,0.00,64.83
16:53:46,all,35.68,0.26,7.03,0.00,0.00,57.03
16:53:47,all,35.73,0.51,7.20,0.00,0.00,56.56
16:53:48,all,32.02,0.52,8.14,0.00,0.00,59.32
16:53:49,all,26.72,0.26,6.61,0.00,0.00,66.40
16:53:50,all,27.34,0.00,6.77,0.00,0.00,65.89
16:53:51,all,33.76,0.00,7.87,0.00,0.00,58.38
16:53:52,all,30.18,0.00,7.93,0.00,0.00,61.89
16:53:53,all,35.94,0.00,8.33,0.00,0.00,55.73
16:53:54,all,33.84,0.00,9.60,0.00,0.00,56.57
16:53:55,all,32.01,0.00,9.18,0.00,0.00,58.81
16:53:56,all,31.59,0.00,7.96,0.00,0.00,60.45
16:53:57,all,28.86,0.00,8.96,0.00,0.00,62.19
16:53:58,all,29.88,0.25,8.40,0.00,0.00,61.48
16:53:59,all,34.74,0.00,7.20,0.00,0.00,58.06
16:54:00,all,30.20,0.00,7.61,0.00,0.00,62.18
16:54:01,all,32.67,0.25,8.98,0.00,0.00,58.10
16:54:02,all,27.92,0.00,9.39,0.00,0.00,62.69
16:54:03,all,29.11,0.00,7.85,0.00,0.00,63.04
16:54:04,all,36.34,0.50,10.03,0.00,0.00,53.13
16:54:05,all,35.52,0.00,8.31,0.00,0.00,56.17
16:54:06,all,29.92,0.00,7.67,0.00,0.00,62.40
16:54:07,all,31.40,0.00,8.70,0.00,0.00,59.90
16:54:08,all,37.16,0.00,6.48,0.00,0.00,56.36
16:54:09,all,31.13,0.00,8.58,0.00,0.00,60.29
16:54:10,all,29.82,0.00,6.68,0.00,0.00,63.50
16:54:11,all,31.02,0.00,7.69,0.00,0.00,61.29
16:54:12,all,30.15,0.00,10.54,0.00,0.00,59.31
16:54:13,all,40.69,0.49,7.35,0.00,0.00,51.47
16:54:14,all,32.24,0.00,6.80,0.00,0.00,60.96
16:54:15,all,31.84,0.00,8.96,0.00,0.00,59.20
16:54:16,all,30.87,0.26,8.93,0.00,0.00,59.95
16:54:17,all,31.13,0.00,8.58,0.00,0.00,60.29
16:54:18,all,35.22,0.00,8.13,0.00,0.00,56.65
16:54:19,all,30.87,0.00,6.12,0.00,0.00,63.01
16:54:20,all,32.36,0.00,7.79,0.00,0.00,59.85
16:54:21,all,29.68,0.00,8.48,0.00,0.00,61.85
16:54:22,all,34.78,0.00,7.49,0.00,0.00,57.73
16:54:23,all,30.25,0.00,8.00,0.00,0.00,61.75
16:54:24,all,31.94,0.00,6.63,0.00,0.00,61.43
16:54:25,all,34.34,0.00,6.57,0.00,0.00,59.09
16:54:26,all,31.28,0.00,8.13,0.00,0.00,60.59
16:54:27,all,34.37,0.00,8.59,0.00,0.00,57.04
16:54:28,all,30.50,0.00,9.00,0.00,0.00,60.50
16:54:29,all,28.40,0.00,11.36,0.00,0.00,60.25
16:54:30,all,31.44,0.00,8.42,0.00,0.00,60.15
16:54:31,all,37.03,0.00,10.83,0.00,0.00,52.14
16:54:32,all,30.25,0.00,8.50,0.00,0.00,61.25
16:54:33,all,30.41,0.00,9.49,0.00,0.00,60.10
16:54:34,all,29.68,0.00,7.73,0.00,0.00,62.59
16:54:35,all,44.03,0.00,8.71,0.00,0.00,47.26
16:54:36,all,31.09,0.00,6.72,0.00,0.00,62.19
16:54:37,all,26.14,0.00,10.41,0.00,0.00,63.45
16:54:38,all,30.73,0.00,7.81,0.00,0.00,61.46
16:54:39,all,37.15,0.00,8.14,0.00,0.00,54.71
16:54:40,all,29.18,0.00,9.23,0.00,0.00,61.60
Average:,all,32.16,0.05,8.29,0.00,0.00,59.50
