16:53:41,CPU,%user,%nice,%system,%iowait,%steal,%idle
16:53:42,0,40.00,0.00,14.00,0.00,0.00,46.00
16:53:43,0,32.29,0.00,6.25,0.00,0.00,61.46
16:53:44,0,24.73,0.00,10.75,0.00,0.00,64.52
16:53:45,0,33.67,0.00,10.20,0.00,0.00,56.12
16:53:46,0,23.91,0.00,7.61,0.00,0.00,68.48
16:53:47,0,37.38,0.00,13.08,0.00,0.00,49.53
16:53:48,0,29.17,1.04,13.54,0.00,0.00,56.25
16:53:49,0,28.89,1.11,7.78,0.00,0.00,62.22
16:53:50,0,28.57,0.00,5.49,0.00,0.00,65.93
16:53:51,0,25.26,0.00,12.63,0.00,0.00,62.11
16:53:52,0,33.00,0.00,8.00,0.00,0.00,59.00
16:53:53,0,35.64,0.00,1.98,0.00,0.00,62.38
16:53:54,0,33.33,0.00,8.89,0.00,0.00,57.78
16:53:55,0,38.54,0.00,6.25,0.00,0.00,55.21
16:53:56,0,30.93,0.00,13.40,0.00,0.00,55.67
16:53:57,0,29.52,0.00,8.57,0.00,0.00,61.90
16:53:58,0,32.38,0.00,3.81,0.00,0.00,63.81
16:53:59,0,27.72,0.00,10.89,0.00,0.00,61.39
16:54:00,0,33.98,0.00,12.62,0.00,0.00,53.40
16:54:01,0,28.87,0.00,8.25,0.00,0.00,62.89
16:54:02,0,25.26,0.00,15.79,0.00,0.00,58.95
16:54:03,0,29.03,0.00,5.38,0.00,0.00,65.59
16:54:04,0,27.08,0.00,9.38,0.00,0.00,63.54
16:54:05,0,38.54,0.00,6.25,0.00,0.00,55.21
16:54:06,0,32.63,0.00,7.37,0.00,0.00,60.00
16:54:07,0,35.00,0.00,6.00,0.00,0.00,59.00
16:54:08,0,34.65,0.00,9.90,0.00,0.00,55.45
16:54:09,0,37.37,0.00,6.06,0.00,0.00,56.57
16:54:10,0,33.33,0.00,6.25,0.00,0.00,60.42
16:54:11,0,26.60,0.00,8.51,0.00,0.00,64.89
16:54:12,0,25.25,0.00,17.17,0.00,0.00,57.58
16:54:13,0,31.31,1.01,15.15,0.00,0.00,52.53
16:54:14,0,41.12,0.93,11.21,0.00,0.00,46.73
16:54:15,0,31.07,0.00,8.74,0.00,0.00,60.19
16:54:16,0,27.08,0.00,12.50,0.00,0.00,60.42
16:54:17,0,17.39,0.00,14.13,0.00,0.00,68.48
16:54:18,0,29.29,0.00,9.09,0.00,0.00,61.62
16:54:19,0,34.95,0.00,6.80,0.00,0.00,58.25
16:54:20,0,28.00,0.00,8.00,0.00,0.00,64.00
16:54:21,0,31.78,0.00,9.35,0.00,0.00,58.88
16:54:22,0,30.93,0.00,4.12,0.00,0.00,64.95
16:54:23,0,37.00,0.00,8.00,0.00,0.00,55.00
16:54:24,0,29.47,0.00,10.53,0.00,0.00,60.00
16:54:25,0,28.16,0.00,7.77,0.00,0.00,64.08
16:54:26,0,36.36,0.00,5.05,0.00,0.00,58.59
16:54:27,0,26.04,0.00,10.42,0.00,0.00,63.54
16:54:28,0,29.52,0.00,9.52,0.00,0.00,60.95
16:54:29,0,27.88,0.00,15.38,0.00,0.00,56.73
16:54:30,0,37.14,0.00,6.67,0.00,0.00,56.19
16:54:31,0,33.65,0.00,11.54,0.00,0.00,54.81
16:54:32,0,30.21,0.00,11.46,0.00,0.00,58.33
16:54:33,0,24.49,0.00,12.24,0.00,0.00,63.27
16:54:34,0,27.37,0.00,4.21,0.00,0.00,68.42
16:54:35,0,27.18,0.00,11.65,0.00,0.00,61.17
16:54:36,0,44.79,0.00,8.33,0.00,0.00,46.88
16:54:37,0,31.00,0.00,7.00,0.00,0.00,62.00
16:54:38,0,25.77,0.00,6.19,0.00,0.00,68.04
16:54:39,0,30.00,0.00,12.00,0.00,0.00,58.00
16:54:40,0,34.02,0.00,9.28,0.00,0.00,56.70
16:54:41,0,23.66,0.00,8.60,0.00,0.00,67.74
Average:,0,31.07,0.07,9.30,0.00,0.00,59.57
