,total,used,free,shared,buff,available
Mem:,3826,402,1742,142,1681,3134
Mem:,3826,407,1737,142,1681,3129
Mem:,3826,408,1736,142,1681,3129
Mem:,3826,408,1736,142,1681,3129
Mem:,3826,408,1736,142,1681,3128
Mem:,3826,409,1735,142,1681,3128
Mem:,3826,409,1735,142,1681,3128
Mem:,3826,408,1736,142,1681,3128
Mem:,3826,408,1736,142,1681,3128
Mem:,3826,409,1735,142,1681,3128
Mem:,3826,408,1736,142,1681,3128
Mem:,3826,409,1736,142,1681,3128
Mem:,3826,409,1735,142,1681,3128
Mem:,3826,408,1736,142,1681,3128
Mem:,3826,409,1736,142,1681,3128
Mem:,3826,408,1736,142,1681,3128
Mem:,3826,409,1735,142,1681,3128
Mem:,3826,409,1735,142,1681,3127
Mem:,3826,410,1734,142,1681,3127
Mem:,3826,410,1734,142,1681,3127
Mem:,3826,410,1734,142,1681,3127
Mem:,3826,411,1734,142,1681,3126
Mem:,3826,410,1734,142,1681,3127
Mem:,3826,410,1734,142,1681,3126
Mem:,3826,411,1733,142,1681,3126
Mem:,3826,410,1734,142,1681,3126
Mem:,3826,410,1734,142,1681,3126
Mem:,3826,410,1734,142,1681,3126
Mem:,3826,411,1733,142,1681,3126
Mem:,3826,411,1733,142,1681,3126
Mem:,3826,411,1733,142,1681,3125
Mem:,3826,411,1733,142,1681,3126
Mem:,3826,411,1733,142,1681,3125
Mem:,3826,412,1733,142,1681,3125
Mem:,3826,412,1732,142,1681,3124
Mem:,3826,412,1732,142,1681,3124
Mem:,3826,412,1732,142,1681,3125
Mem:,3826,412,1732,142,1681,3125
Mem:,3826,412,1732,142,1681,3125
Mem:,3826,411,1733,142,1681,3125
Mem:,3826,412,1732,142,1681,3125
Mem:,3826,412,1732,142,1681,3125
Mem:,3826,413,1741,132,1671,3133
Mem:,3826,413,1741,132,1671,3133
Mem:,3826,412,1733,141,1680,3125
Mem:,3826,413,1732,141,1680,3125
Mem:,3826,413,1732,141,1680,3125
Mem:,3826,413,1731,141,1680,3124
Mem:,3826,413,1731,141,1680,3124
Mem:,3826,413,1732,141,1680,3124
Mem:,3826,414,1731,141,1680,3123
Mem:,3826,414,1731,141,1680,3123
Mem:,3826,414,1731,141,1680,3123
Mem:,3826,414,1731,141,1680,3124
Mem:,3826,404,1741,141,1680,3133
Mem:,3826,404,1741,141,1680,3134
Mem:,3826,404,1741,141,1680,3134
Mem:,3826,403,1742,141,1680,3134
Mem:,3826,403,1741,141,1680,3134
Mem:,3826,401,1744,141,1680,3136
